respondent_id,_true_persona,Q2_community,Q3_nationality_region,Q4_age_group,Q5_household_composition,Q6_ownership,Q7_years_in_community,Q8_villa_bedrooms,Q9_income_bracket_aed,Q10_cleaning,Q10_gardening,Q10_pool,Q10_pest_control,Q10_repairs,Q10_none,Q11_sourcing_channel,Q12_satisfaction,Q13_pain_unreliable_staff,Q13_pain_inconsistent_quality,Q13_pain_trust_strangers,Q13_pain_high_cost,Q13_pain_time_coordinating,Q13_pain_staff_turnover,Q13_pain_no_accountability,Q13_pain_hard_to_find_specialists,Q13_pain_none,Q14_hours_coordinating_monthly,Q15_feat_fixed_schedule,Q15_feat_vetted_staff,Q15_feat_continuity,Q15_feat_bundled_package,Q15_feat_emergency_callout,Q15_feat_visit_tracking,Q15_feat_ratings_reviews,Q15_feat_flex_addons,Q15_feat_community_manager,Q16_continuity_importance,Q17_scheduling_pref,Q18_current_spend_aed,Q19_max_wtp_aed,Q20_billing_pref,Q22_vetting_importance,Q23_app_comfort,Q24_app_real_time_tracking,Q24_app_in_app_reschedule,Q24_app_ratings,Q24_app_photo_verification,Q24_app_chat,Q24_app_announcements,Q24_app_none_prefer_whatsapp,Q25_interest
1,Affluent Low-Engagement,Jumeirah Islands,Western (Europe/NA/ANZ),55+,Couple with children,Owner,4.7,5,"50,000-79,999",1,0,1,1,0,0,Agency/company,5,0,1,0,0,0,0,0,1,0,0.0,0,0,0,1,0,0,0,0,1,4,Biweekly,10903.0,16607.0,No preference,3,2,0,1,0,0,1,0,1,No
2,Cost-Conscious Family Households,The Springs,Other Arab,55+,"Single/couple, no children",Owner,7.6,3,"Under 15,000",1,0,0,0,0,0,Informal/word-of-mouth,3,1,0,0,0,0,0,0,0,0,4.2,1,0,1,1,0,1,0,0,0,3,Weekly,1348.0,1021.0,Bundled into HOA fees,3,3,1,0,0,0,0,0,1,Maybe
3,Tech-Savvy Young Adopters,Akoya Oxygen,Western (Europe/NA/ANZ),45-54,Multigenerational household,Tenant,3.1,3,"30,000-49,999",0,0,0,0,0,1,Agency/company,1,1,0,0,0,0,0,0,1,0,5.5,0,0,0,0,1,1,1,1,0,2,Flexible/on-demand,945.0,805.0,Separate billing,3,5,0,1,0,0,1,0,0,Maybe
4,Affluent Low-Engagement,Al Furjan,GCC national,55+,Couple with children,Owner,6.1,4,"80,000+",1,1,1,0,0,0,Mix,4,0,0,0,0,0,0,0,0,1,3.8,1,1,1,1,1,0,0,0,0,1,Biweekly,7247.0,10438.0,Separate billing,3,3,0,0,0,1,0,0,0,No
5,Time-Poor Premium Professionals,The Springs,Western (Europe/NA/ANZ),25-34,Couple with children,Tenant,3.1,3,"50,000-79,999",1,0,0,1,1,0,Individual freelancers,2,0,0,0,1,0,1,1,1,0,8.0,1,0,1,1,1,1,1,0,1,5,Weekly,4174.0,6041.0,No preference,4,4,0,0,0,0,0,0,0,Yes
6,Tech-Savvy Young Adopters,Jumeirah Park,Southeast/East Asian,25-34,"Single/couple, no children",Tenant,2.9,3,"15,000-29,999",1,1,0,1,1,0,Individual freelancers,1,0,1,0,0,0,1,0,0,0,5.4,0,0,1,0,0,0,0,1,0,4,Flexible/on-demand,1363.0,1836.0,Separate billing,4,5,1,1,1,0,0,0,0,Yes
7,Affluent Low-Engagement,The Meadows,South Asian,35-44,"Single/couple, no children",Owner,9.2,5,,0,1,1,0,0,0,Agency/company,3,0,1,0,0,0,0,1,0,0,4.2,0,1,0,0,0,0,0,0,0,2,Weekly,6177.0,8214.0,Bundled into HOA fees,4,2,0,0,0,1,0,1,1,Maybe
8,Affluent Low-Engagement,Akoya Oxygen,GCC national,45-54,Couple with children,Owner,7.9,5,"80,000+",1,1,0,0,0,0,Agency/company,5,0,1,0,0,0,0,0,0,0,6.6,0,0,0,0,0,1,0,0,1,3,Biweekly,6778.0,10099.0,Separate billing,4,3,1,1,1,0,0,0,0,Yes
9,Time-Poor Premium Professionals,Dubai Hills Estate,Other,35-44,"Single/couple, no children",Owner,3.6,4,"80,000+",0,0,0,1,1,0,Agency/company,2,1,0,0,0,1,1,0,0,0,8.2,1,1,1,1,0,0,1,0,1,4,Weekly,5932.0,5685.0,Separate billing,5,3,0,0,0,0,0,0,0,Yes
10,Cost-Conscious Family Households,The Springs,African,45-54,Multigenerational household,Owner,12.8,3,"15,000-29,999",1,0,0,0,1,0,Informal/word-of-mouth,2,1,1,0,0,1,0,0,0,0,6.8,0,0,0,0,0,1,1,0,1,5,Monthly,2308.0,2427.0,Separate billing,4,2,0,1,0,0,1,0,1,Yes
11,Cost-Conscious Family Households,Al Furjan,South Asian,55+,Couple with children,Tenant,9.4,3,"80,000+",1,1,0,0,1,0,Agency/company,3,0,0,0,0,1,0,0,0,0,4.9,1,0,0,0,0,0,0,0,0,4,Weekly,3140.0,3208.0,Separate billing,3,4,0,0,1,0,1,0,0,Yes
12,Tech-Savvy Young Adopters,Jumeirah Park,Western (Europe/NA/ANZ),35-44,"Single/couple, no children",Tenant,0.2,3,"80,000+",1,0,1,0,0,0,Informal/word-of-mouth,2,0,0,0,0,0,0,0,1,0,3.1,0,0,0,0,0,0,1,0,0,3,Weekly,1937.0,2666.0,Separate billing,3,5,0,1,0,0,0,1,0,Maybe
13,Skeptical Traditionalists,The Springs,Other Arab,55+,"Single/couple, no children",Owner,15.5,5,"15,000-29,999",1,0,0,0,0,0,Individual freelancers,2,1,0,0,0,0,0,0,0,0,2.8,1,1,0,0,0,0,0,0,0,5,Monthly,1726.0,2237.0,Bundled into HOA fees,4,1,0,1,0,1,1,0,1,Yes
